r,trajectory_id,step_id,PL,RMS,PL_minus_RMS,abs_PL_minus_RMS,PL_RMS_ratio,PL_plus_RMS,RMS_PL_ratio
1654.1372373536603,18,3,63.3,8.46,54.84,54.84,7.48,71.76,0.13
1474.0888711336231,18,4,62.7,8.47,54.23,54.23,7.4,71.17,0.14
1802.1922760904288,18,5,62.9,8.17,54.73,54.73,7.7,71.07,0.13
2136.611335737036,18,6,63.4,8.76,54.64,54.64,7.24,72.16,0.14
1648.9757426960532,18,7,62.6,8.03,54.57,54.57,7.8,70.63,0.13
1992.976668202616,18,8,62.7,8.29,54.41,54.41,7.56,70.99,0.13
2412.3702037622666,18,9,62.1,7.82,54.28,54.28,7.94,69.92,0.13
1851.130735523561,19,0,64.8,9.86,54.94,54.94,6.57,74.66,0.15
1615.7515279274842,19,1,62.6,8.0,54.6,54.6,7.82,70.6,0.13
1370.4254813743066,19,2,63.0,8.69,54.31,54.31,7.25,71.69,0.14
1887.3264158592176,19,3,63.3,8.44,54.86,54.86,7.5,71.74,0.13
2183.7090007599454,19,4,63.4,8.67,54.73,54.73,7.31,72.07,0.14
2415.3480080518416,19,5,63.2,8.96,54.24,54.24,7.05,72.16,0.14
2357.1440346317404,19,6,62.7,8.33,54.37,54.37,7.53,71.03,0.13
2717.3510998764955,19,7,61.4,7.29,54.11,54.11,8.42,68.69,0.12
2518.4924061827146,19,8,62.4,8.21,54.19,54.19,7.6,70.61,0.13
2858.980412664627,19,9,61.8,7.71,54.09,54.09,8.02,69.51,0.12
